,0,1,2,accuracy,macro avg,weighted avg
precision,0.9692005644518069,0.9570273999605756,0.9936409641763218,0.9892823779193206,0.9732896428629014,0.9892791985009528
recall,0.9689033366045142,0.9558968300846623,0.9937534545793572,0.9892823779193206,0.9728512070895112,0.9892823779193206
f1-score,0.9690519277367113,0.956461780929866,0.9936972061942513,0.9892823779193206,0.9730703049536095,0.989280764185434
support,16304.0,10158.0,150163.0,0.9892823779193206,176625.0,176625.0
